Mapper,route_short_name,service_line,Line_ID,station,sequence,station_id,Latitude,Longitude,stop_id,stop_name
HUN.HUN-Dungog[0],HUN,HUN-Dungog,HUN_HUN-Dungog,Dungog,0,242010,-32.40229,151.75954,242010,Dungog Station
HUN.HUN-Dungog[1],HUN,HUN-Dungog,HUN_HUN-Dungog,Wirragulla,1,242030,-32.461774,151.743457,242030,Wirragulla Station
HUN.HUN-Dungog[2],HUN,HUN-Dungog,HUN_HUN-Dungog,Wallarobba,2,242020,-32.49614,151.69568,242020,Wallarobba Station
HUN.HUN-Dungog[3],HUN,HUN-Dungog,HUN_HUN-Dungog,Hilldale,3,242040,-32.504504,151.649768,242040,Hilldale Station
HUN.HUN-Dungog[4],HUN,HUN-Dungog,HUN_HUN-Dungog,Martins Creek,4,242050,-32.558687,151.618509,242050,Martins Creek Station
HUN.HUN-Dungog[5],HUN,HUN-Dungog,HUN_HUN-Dungog,Paterson,5,242110,-32.602401,151.614637,242110,Paterson Station
HUN.HUN-Dungog[6],HUN,HUN-Dungog,HUN_HUN-Dungog,Mindaribba,6,232050,-32.669323,151.584314,232050,Mindaribba Station
HUN.HUN-Dungog[7],HUN,HUN-Dungog,HUN_HUN-Dungog,Telarah,7,232030,-32.72391,151.539635,232030,Telarah Station
HUN.HUN-Dungog[8],HUN,HUN-Dungog,HUN_HUN-Dungog,Maitland,8,232020,-32.738035,151.5521,232020,Maitland Station
HUN.HUN-Dungog[9],HUN,HUN-Dungog,HUN_HUN-Dungog,High Street,9,232010,-32.741449,151.563689,232010,High Street Station
HUN.HUN-Dungog[10],HUN,HUN-Dungog,HUN_HUN-Dungog,East Maitland,10,232330,-32.744875,151.587421,232330,East Maitland Station
HUN.HUN-Dungog[11],HUN,HUN-Dungog,HUN_HUN-Dungog,Victoria Street,11,232320,-32.750958,151.593826,232320,Victoria Street Station
HUN.HUN-Dungog[12],HUN,HUN-Dungog,HUN_HUN-Dungog,Metford,12,232310,-32.764876,151.617868,232310,Metford Station
HUN.HUN-Dungog[13],HUN,HUN-Dungog,HUN_HUN-Dungog,Thornton,13,232240,-32.783595,151.639831,232240,Thornton Station
HUN.HUN-Dungog[14],HUN,HUN-Dungog,HUN_HUN-Dungog,Beresfield,14,232230,-32.798946,151.657863,232230,Beresfield Station
HUN.HUN-Dungog[15],HUN,HUN-Dungog,HUN_HUN-Dungog,Tarro,15,232220,-32.809309,151.669942,232220,Tarro Station
HUN.HUN-Dungog[16],HUN,HUN-Dungog,HUN_HUN-Dungog,Hexham,16,232210,-32.82947,151.684417,232210,Hexham Station
HUN.HUN-Dungog[17],HUN,HUN-Dungog,HUN_HUN-Dungog,Sandgate,17,230430,-32.871897,151.702605,230430,Sandgate Station
HUN.HUN-Dungog[18],HUN,HUN-Dungog,HUN_HUN-Dungog,Warabrook,18,230420,-32.887055,151.70989,230420,Warabrook Station
HUN.HUN-Dungog[19],HUN,HUN-Dungog,HUN_HUN-Dungog,Waratah,19,230410,-32.902766,151.731671,230410,Waratah Station
HUN.HUN-Dungog[20],HUN,HUN-Dungog,HUN_HUN-Dungog,Hamilton,20,230310,-32.918713,151.748872,230310,Hamilton Station
HUN.HUN-Dungog[21],HUN,HUN-Dungog,HUN_HUN-Dungog,Newcastle Interchange,21,229310,-32.924037,151.759079,229310,Newcastle Interchange
HUN.HUN-Scone[0],HUN,HUN-Scone,HUN_HUN-Scone,Scone,0,233710,-32.046941,150.866902,233710,Scone Station
HUN.HUN-Scone[1],HUN,HUN-Scone,HUN_HUN-Scone,Aberdeen,1,233610,-32.167104,150.892052,233610,Aberdeen Station
HUN.HUN-Scone[2],HUN,HUN-Scone,HUN_HUN-Scone,Muswellbrook,2,233310,-32.267493,150.89032,233310,Muswellbrook Station
HUN.HUN-Scone[3],HUN,HUN-Scone,HUN_HUN-Scone,Singleton,3,233010,-32.57177,151.165171,233010,Singleton Station
HUN.HUN-Scone[4],HUN,HUN-Scone,HUN_HUN-Scone,Branxton,4,233510,-32.662252,151.345645,233510,Branxton Station
HUN.HUN-Scone[5],HUN,HUN-Scone,HUN_HUN-Scone,Greta,5,233410,-32.686622,151.38409,233410,Greta Station
HUN.HUN-Scone[6],HUN,HUN-Scone,HUN_HUN-Scone,Lochinvar,6,232110,-32.72072,151.449087,232110,Lochinvar Station
HUN.HUN-Scone[7],HUN,HUN-Scone,HUN_HUN-Scone,Maitland,7,232020,-32.738035,151.5521,232020,Maitland Station
HUN.HUN-Scone[8],HUN,HUN-Scone,HUN_HUN-Scone,High Street,8,232010,-32.741449,151.563689,232010,High Street Station
HUN.HUN-Scone[9],HUN,HUN-Scone,HUN_HUN-Scone,East Maitland,9,232330,-32.744875,151.587421,232330,East Maitland Station
HUN.HUN-Scone[10],HUN,HUN-Scone,HUN_HUN-Scone,Victoria Street,10,232320,-32.750958,151.593826,232320,Victoria Street Station
HUN.HUN-Scone[11],HUN,HUN-Scone,HUN_HUN-Scone,Metford,11,232310,-32.764876,151.617868,232310,Metford Station
HUN.HUN-Scone[12],HUN,HUN-Scone,HUN_HUN-Scone,Thornton,12,232240,-32.783595,151.639831,232240,Thornton Station
HUN.HUN-Scone[13],HUN,HUN-Scone,HUN_HUN-Scone,Beresfield,13,232230,-32.798946,151.657863,232230,Beresfield Station
HUN.HUN-Scone[14],HUN,HUN-Scone,HUN_HUN-Scone,Tarro,14,232220,-32.809309,151.669942,232220,Tarro Station
HUN.HUN-Scone[15],HUN,HUN-Scone,HUN_HUN-Scone,Hexham,15,232210,-32.82947,151.684417,232210,Hexham Station
HUN.HUN-Scone[16],HUN,HUN-Scone,HUN_HUN-Scone,Sandgate,16,230430,-32.871897,151.702605,230430,Sandgate Station
HUN.HUN-Scone[17],HUN,HUN-Scone,HUN_HUN-Scone,Warabrook,17,230420,-32.887055,151.70989,230420,Warabrook Station
HUN.HUN-Scone[18],HUN,HUN-Scone,HUN_HUN-Scone,Waratah,18,230410,-32.902766,151.731671,230410,Waratah Station
HUN.HUN-Scone[19],HUN,HUN-Scone,HUN_HUN-Scone,Hamilton,19,230310,-32.918713,151.748872,230310,Hamilton Station
HUN.HUN-Scone[20],HUN,HUN-Scone,HUN_HUN-Scone,Newcastle Interchange,20,229310,-32.924037,151.759079,229310,Newcastle Interchange
CCN,CCN,CCN,CCN - Gordon,Newcastle Interchange,0,229310,-32.924037,151.759079,229310,Newcastle Interchange
CCN,CCN,CCN,CCN - Gordon,Hamilton,1,230310,-32.918713,151.748872,230310,Hamilton Station
CCN,CCN,CCN,CCN - Gordon,Broadmeadow,2,229210,-32.923017,151.734686,229210,Broadmeadow Station
CCN,CCN,CCN,CCN - Gordon,Adamstown,3,228920,-32.93373,151.720081,228920,Adamstown Station
CCN,CCN,CCN,CCN - Gordon,Kotara,4,228910,-32.941396,151.698493,228910,Kotara Station
CCN,CCN,CCN,CCN - Gordon,Cardiff,5,228520,-32.941824,151.66298,228520,Cardiff Station
CCN,CCN,CCN,CCN - Gordon,Cockle Creek,6,228430,-32.94271,151.623381,228430,Cockle Creek Station
CCN,CCN,CCN,CCN - Gordon,Teralba,7,228420,-32.962712,151.603458,228420,Teralba Station
CCN,CCN,CCN,CCN - Gordon,Booragul,8,228410,-32.971423,151.60469,228410,Booragul Station
CCN,CCN,CCN,CCN - Gordon,Fassifern,9,228330,-32.985788,151.581251,228330,Fassifern Station
CCN,CCN,CCN,CCN - Gordon,Awaba,10,228310,-33.01292,151.541635,228310,Awaba Station
CCN,CCN,CCN,CCN - Gordon,Dora Creek,11,226420,-33.083187,151.501162,226420,Dora Creek Station
CCN,CCN,CCN,CCN - Gordon,Morisset,12,226410,-33.109246,151.487734,226410,Morisset Station
CCN,CCN,CCN,CCN - Gordon,Wyee,13,225940,-33.180448,151.48712,225940,Wyee Station
CCN,CCN,CCN,CCN - Gordon,Warnervale,14,225930,-33.247559,151.448562,225930,Warnervale Station
CCN,CCN,CCN,CCN - Gordon,Wyong,15,225920,-33.285479,151.425256,225920,Wyong Station
CCN,CCN,CCN,CCN - Gordon,Tuggerah,16,225910,-33.308086,151.420153,225910,Tuggerah Station
CCN,CCN,CCN,CCN - Gordon,Ourimbah,17,225810,-33.359604,151.369989,225810,Ourimbah Station
CCN,CCN,CCN,CCN - Gordon,Lisarow,18,225070,-33.382311,151.369817,225070,Lisarow Station
CCN,CCN,CCN,CCN - Gordon,Niagara Park,19,225060,-33.383331,151.354282,225060,Niagara Park Station
CCN,CCN,CCN,CCN - Gordon,Narara,20,2250772,-33.394786,151.344308,2250772,Narara Station
CCN,CCN,CCN,CCN - Gordon,Gosford,21,225040,-33.423883,151.341711,225040,Gosford Station
CCN,CCN,CCN,CCN - Gordon,Point Clare,22,225030,-33.44577,151.328556,225030,Point Clare Station
CCN,CCN,CCN,CCN - Gordon,Tascott,23,225020,-33.451357,151.318056,225020,Tascott Station
CCN,CCN,CCN,CCN - Gordon,Koolewong,24,225620,-33.466974,151.318655,225620,Koolewong Station
CCN,CCN,CCN,CCN - Gordon,Woy Woy,25,225610,-33.485112,151.323624,225610,Woy Woy Station
CCN,CCN,CCN,CCN - Gordon,Wondabyne,26,225010,-33.492135,151.257011,225010,Wondabyne Station
CCN,CCN,CCN,CCN - Gordon,Hawkesbury River,27,208310,-33.546788,151.22651,208310,Hawkesbury River Station
CCN,CCN,CCN,CCN - Gordon,Cowan,28,208120,-33.593108,151.171718,208120,Cowan Station
CCN,CCN,CCN,CCN - Gordon,Berowra,29,208110,-33.623657,151.152971,208110,Berowra Station
CCN,CCN,CCN,CCN - Gordon,Mount Kuring-Gai,30,208010,-33.653002,151.136822,208010,Mount Kuring-gai Station
CCN,CCN,CCN,CCN - Gordon,Mount Colah,31,207910,-33.672022,151.114493,207910,Mount Colah Station
