station_pair,route_short_name,Direction,duration,length,duration_seconds,av_speed_kmh
Tallawong Station - Rouse Hill Station,M1,Inbound,0 days 00:02:00,1916.15,120,57.4845
Rouse Hill Station - Kellyville Station,M1,Inbound,0 days 00:03:00,2618.39,180,52.3678
Kellyville Station - Bella Vista Station,M1,Inbound,0 days 00:02:00,2084.52,120,62.5356
Bella Vista Station - Norwest Station,M1,Inbound,0 days 00:03:00,2261.82,180,45.2364
Norwest Station - Hills Showground Station,M1,Inbound,0 days 00:03:00,2361.01,180,47.2202
Hills Showground Station - Castle Hill Station,M1,Inbound,0 days 00:02:00,2052.23,120,61.5669
Castle Hill Station - Cherrybrook Station,M1,Inbound,0 days 00:03:00,2490.87,180,49.8174
Cherrybrook Station - Epping Station,M1,Inbound,0 days 00:06:00,6287.17,360,62.8717
Epping Station - Macquarie University Station,M1,Inbound,0 days 00:03:00,4006.84,180,80.1368
Macquarie University Station - Macquarie Park Station,M1,Inbound,0 days 00:02:00,1238.5,120,37.155
Macquarie Park Station - North Ryde Station,M1,Inbound,0 days 00:02:00,1413.5,120,42.405
North Ryde Station - Chatswood Station,M1,Inbound,0 days 00:06:00,6524.91,360,65.2491
Chatswood Station - Crows Nest Station,M1,Inbound,0 days 00:04:00,3854.47,240,57.81705
Crows Nest Station - Victoria Cross Station,M1,Inbound,0 days 00:03:00,1545.97,180,30.9194
Victoria Cross Station - Barangaroo Station,M1,Inbound,0 days 00:03:00,2713.12,180,54.2624
Barangaroo Station - Martin Place Station,M1,Inbound,0 days 00:02:00,1414.33,120,42.4299
Martin Place Station - Gadigal Station,M1,Inbound,0 days 00:02:00,768.2,120,23.046
Gadigal Station - Central Station,M1,Inbound,0 days 00:02:00,1207.28,120,36.2184
Central Station - Waterloo Station,M1,Outbound,0 days 00:02:00,1662.62,120,49.8786
Waterloo Station - Sydenham Station,M1,Outbound,0 days 00:04:00,4107.39,240,61.61085
Sydenham Station - Waterloo Station,M1,Inbound,0 days 00:03:00,4089.29,180,81.7858
Waterloo Station - Central Station,M1,Inbound,0 days 00:03:00,1675.02,180,33.5004
Central Station - Gadigal Station,M1,Outbound,0 days 00:02:00,1219.99,120,36.5997
Gadigal Station - Martin Place Station,M1,Outbound,0 days 00:02:00,783.67,120,23.5101
Martin Place Station - Barangaroo Station,M1,Outbound,0 days 00:02:00,1348.05,120,40.4415
Barangaroo Station - Victoria Cross Station,M1,Outbound,0 days 00:04:00,2713.62,240,40.7043
Victoria Cross Station - Crows Nest Station,M1,Outbound,0 days 00:02:00,1533.09,120,45.9927
Crows Nest Station - Chatswood Station,M1,Outbound,0 days 00:04:00,3866.94,240,58.0041
Chatswood Station - North Ryde Station,M1,Outbound,0 days 00:05:00,6505.71,300,78.06852
North Ryde Station - Macquarie Park Station,M1,Outbound,0 days 00:02:00,1421.3,120,42.639
Macquarie Park Station - Macquarie University Station,M1,Outbound,0 days 00:02:00,1239.64,120,37.1892
Macquarie University Station - Epping Station,M1,Outbound,0 days 00:04:00,4016.94,240,60.2541
Epping Station - Cherrybrook Station,M1,Outbound,0 days 00:06:00,6267.25,360,62.6725
Cherrybrook Station - Castle Hill Station,M1,Outbound,0 days 00:03:00,2481.49,180,49.6298
Castle Hill Station - Hills Showground Station,M1,Outbound,0 days 00:02:00,2050.05,120,61.5015
Hills Showground Station - Norwest Station,M1,Outbound,0 days 00:03:00,2356.34,180,47.1268
Norwest Station - Bella Vista Station,M1,Outbound,0 days 00:02:00,2287,120,68.61
Bella Vista Station - Kellyville Station,M1,Outbound,0 days 00:03:00,2084.34,180,41.6868
Kellyville Station - Rouse Hill Station,M1,Outbound,0 days 00:03:00,2616.55,180,52.331
Rouse Hill Station - Tallawong Station,M1,Outbound,0 days 00:02:00,1907.85,120,57.2355
Redfern Station - Central Station,T3,Inbound,0 days 00:03:00,1208.93,180,24.1786
Central Station - Museum Station,T2,Outbound,0 days 00:03:00,937.67,180,18.7534
Museum Station - St James Station,T2,Outbound,0 days 00:02:00,629.05,120,18.8715
St James Station - Circular Quay Station,T2,Inbound,0 days 00:03:00,1436.03,180,28.7206
Circular Quay Station - Wynyard Station,T2,Inbound,0 days 00:03:00,882.82,180,17.6564
Wynyard Station - Town Hall Station,T2,Inbound,0 days 00:03:00,876.49,180,17.5298
Town Hall Station - Central Station,T2,Inbound,0 days 00:04:00,1263.27,240,18.94905
Central Station - Redfern Station,T2,Outbound,0 days 00:02:00,1204.08,120,36.1224
Redfern Station - Newtown Station,T2,Outbound,0 days 00:04:00,1854.92,240,27.8238
Newtown Station - Ashfield Station,T2,Outbound,0 days 00:06:00,5262.61,360,52.6261
Ashfield Station - Burwood Station,T2,Outbound,0 days 00:04:00,2312.93,240,34.69395
Burwood Station - Strathfield Station,T2,Outbound,0 days 00:03:00,1182.94,180,23.6588
Strathfield Station - Flemington Station,T2,Outbound,0 days 00:04:00,2440.61,240,36.60915
Flemington Station - Lidcombe Station,T2,Outbound,0 days 00:04:00,2342.32,240,35.1348
Lidcombe Station - Auburn Station,T2,Outbound,0 days 00:03:00,1980.18,180,39.6036
Auburn Station - Clyde Station,T2,Outbound,0 days 00:03:00,2082.72,180,41.6544
Clyde Station - Granville Station,T2,Outbound,0 days 00:01:00,569.57,60,34.1742
Granville Station - Merrylands Station,T2,Outbound,0 days 00:03:00,2214.99,180,44.2998
Merrylands Station - Guildford Station,T2,Outbound,0 days 00:03:00,2207.99,180,44.1598
Guildford Station - Yennora Station,T2,Outbound,0 days 00:03:00,1734.73,180,34.6946
Yennora Station - Fairfield Station,T2,Outbound,0 days 00:03:00,1556.64,180,31.1328
Fairfield Station - Canley Vale Station,T2,Outbound,0 days 00:02:00,2055.99,120,61.6797
Canley Vale Station - Cabramatta Station,T2,Outbound,0 days 00:02:00,964.32,120,28.9296
Cabramatta Station - Warwick Farm Station,T2,Outbound,0 days 00:03:00,2060.63,180,41.2126
Warwick Farm Station - Liverpool Station,T2,Outbound,0 days 00:03:00,1542.56,180,30.8512
Liverpool Station - Casula Station,T2,Outbound,0 days 00:04:00,3185.29,240,47.77935
Casula Station - Glenfield Station,T2,Outbound,0 days 00:05:00,3142.5,300,37.71
Glenfield Station - Edmondson Park Station,T2,Outbound,0 days 00:04:00,3433.78,240,51.5067
Edmondson Park Station - Leppington Station,T2,Outbound,0 days 00:06:00,5641.18,360,56.4118
Leppington Station - Edmondson Park Station,T2,Inbound,0 days 00:05:00,5642.36,300,67.70832
Edmondson Park Station - Glenfield Station,T2,Inbound,0 days 00:05:00,3421.19,300,41.05428
Glenfield Station - Casula Station,T2,Inbound,0 days 00:04:00,3126.68,240,46.9002
Casula Station - Liverpool Station,T2,Inbound,0 days 00:04:00,3197.72,240,47.9658
Liverpool Station - Warwick Farm Station,T2,Inbound,0 days 00:02:00,1541.76,120,46.2528
